SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION
200642,20061212,3,18,1,1.03,PRD0900173,CL00045,DEP00011,G00004,D00002,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,18,1,1.74,PRD0900239,CL00023,DEP00008,G00004,D00002,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,18,1,0.34,PRD0900286,CL00113,DEP00040,G00011,D00003,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,18,3,2.4,PRD0900385,CL00036,DEP00009,G00004,D00002,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,18,1,1.11,PRD0900747,CL00138,DEP00048,G00013,D00003,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,18,1,1.41,PRD0900868,CL00131,DEP00047,G00013,D00003,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,12,1,0.9,PRD0900960,CL00183,DEP00062,G00018,D00004,CUST0000707553,LA,,994103600619516,M,LA,Top Up,Mixed,STORE00001,LS,E02
200642,20061212,3,18,3,2.13,PRD0901161,CL00048,DEP00012,G00004,D00002,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,18,1,0.31,PRD0901249,CL00110,DEP00039,G00010,D00003,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,18,1,2.34,PRD0901258,CL00036,DEP00009,G00004,D00002,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,18,1,0.91,PRD0901417,CL00001,DEP00001,G00001,D00001,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,18,1,4.6,PRD0901484,CL00053,DEP00013,G00005,D00002,CUST0000410727,UM,OT,994103600425132,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200642,20061212,3,12,1,2.2,PRD0901619,CL00058,DEP00016,G00006,D00002,CUST0000707553,LA,,994103600619516,M,LA,Top Up,Mixed,STORE00001,LS,E02
